x_m,stage,pm25_ugm3,no_ppb,no2_ppb,voc_ppb,o3_ppb,oh_ppt
0.0000,demister,150.0000,40.0000,80.0000,300.0000,20.0000,0.0000
0.0049,demister,149.8947,40.0000,80.0000,300.0000,20.0000,0.0000
0.0097,demister,149.7895,40.0000,80.0000,300.0000,20.0000,0.0000
0.0146,demister,149.6844,40.0000,80.0000,300.0000,20.0000,0.0000
0.0195,demister,149.5794,40.0000,80.0000,300.0000,20.0000,0.0000
0.0244,demister,149.4744,40.0000,80.0000,300.0000,20.0000,0.0000
0.0292,demister,149.3695,40.0000,80.0000,300.0000,20.0000,0.0000
0.0341,demister,149.2647,40.0000,80.0000,300.0000,20.0000,0.0000
0.0390,demister,149.1600,40.0000,80.0000,300.0000,20.0000,0.0000
0.0439,demister,149.0553,40.0000,80.0000,300.0000,20.0000,0.0000
0.0488,demister,148.9507,40.0000,80.0000,300.0000,20.0000,0.0000
0.0536,demister,148.8462,40.0000,80.0000,300.0000,20.0000,0.0000
0.0585,demister,148.7417,40.0000,80.0000,300.0000,20.0000,0.0000
0.0634,demister,148.6373,40.0000,80.0000,300.0000,20.0000,0.0000
0.0683,demister,148.5330,40.0000,80.0000,300.0000,20.0000,0.0000
0.0731,demister,148.4288,40.0000,80.0000,300.0000,20.0000,0.0000
0.0780,demister,148.3246,40.0000,80.0000,300.0000,20.0000,0.0000
0.0829,demister,148.2205,40.0000,80.0000,300.0000,20.0000,0.0000
0.0877,demister,148.1165,40.0000,80.0000,300.0000,20.0000,0.0000
0.0926,demister,148.0126,40.0000,80.0000,300.0000,20.0000,0.0000
0.0975,demister,147.9087,40.0000,80.0000,300.0000,20.0000,0.0000
0.1024,demister,147.8049,40.0000,80.0000,300.0000,20.0000,0.0000
0.1072,demister,147.7012,40.0000,80.0000,300.0000,20.0000,0.0000
0.1121,demister,147.5975,40.0000,80.0000,300.0000,20.0000,0.0000
0.1170,demister,147.4940,40.0000,80.0000,300.0000,20.0000,0.0000
0.1219,demister,147.3905,40.0000,80.0000,300.0000,20.0000,0.0000
0.1268,demister,147.2870,40.0000,80.0000,300.0000,20.0000,0.0000
0.1316,demister,147.1837,40.0000,80.0000,300.0000,20.0000,0.0000
0.1365,demister,147.0804,40.0000,80.0000,300.0000,20.0000,0.0000
0.1414,demister,146.9772,40.0000,80.0000,300.0000,20.0000,0.0000
0.1462,demister,146.8740,40.0000,80.0000,300.0000,20.0000,0.0000
0.1511,demister,146.7710,40.0000,80.0000,300.0000,20.0000,0.0000
0.1560,demister,146.6680,40.0000,80.0000,300.0000,20.0000,0.0000
0.1609,demister,146.5650,40.0000,80.0000,300.0000,20.0000,0.0000
0.1658,demister,146.4622,40.0000,80.0000,300.0000,20.0000,0.0000
0.1706,demister,146.3594,40.0000,80.0000,300.0000,20.0000,0.0000
0.1755,demister,146.2567,40.0000,80.0000,300.0000,20.0000,0.0000
0.1804,demister,146.1541,40.0000,80.0000,300.0000,20.0000,0.0000
0.1852,demister,146.0515,40.0000,80.0000,300.0000,20.0000,0.0000
0.1901,demister,145.9490,40.0000,80.0000,300.0000,20.0000,0.0000
0.1950,demister,145.8466,40.0000,80.0000,300.0000,20.0000,0.0000
0.1999,demister,145.7442,40.0000,80.0000,300.0000,20.0000,0.0000
0.2047,demister,145.6420,40.0000,80.0000,300.0000,20.0000,0.0000
